#NT #Ni #Observables
2	   1   999.99999999999250        10.000000000000000             7500   499.28320069254181        250526.45747616878        1242.7429823798011        499.28320069254181        250526.45747616878        1242.7429823798011     
2	   1   999.99999999999250        10.000000000000000             7500   500.71679930745074        251960.05609107536        1242.7429823774437        500.71679930745074        251960.05609107536        1242.7429823774437       0.96468259104206788         
24	  15   999.99999999998772        10.000000000000000            15000   496.39482313371673        247748.42037927316        1340.5999453192344        496.11886263234163        247472.82036312294        1338.8945035146608     
24	   9   999.99999999998772        10.000000000000000            15000   503.60517686627105        254958.77411183235        1340.5999453242111        503.45233312489086        254805.72464193916        1341.4729130430787       0.97021747442529771     
16	  12   999.99999999998738        10.000000000000000            25000   498.03512092978320        249202.71794977944        1163.7362702356477        497.78201382043005        248950.11311460458        1163.1798314817715     
16	   4   999.99999999998738        10.000000000000000            25000   501.96487907020418        253132.47609019795        1163.7362702332321        501.89218571063793        253060.27443370357        1164.5083563021035       0.96505302605633392     
8	   6   999.99999999998863        10.000000000000000            25000   499.18352353783285        250441.84078747005        1257.6506158239208        499.06961502407381        250327.32718324463        1256.8465429673961      
8	   2   999.99999999998863        10.000000000000000            25000   500.81647646215578        252074.79371179859        1257.6506158295670        500.79159529548065        252050.53614923428        1258.3142306418158       0.96668222219653921            
300	 250   1000.0000000000000        10.000000000000000             7500   500.94034256487527        252021.31636553424        1080.0895565196406        495.48423477705762        246595.18903022463        1090.5621176182758        
300	  50   1000.0000000000000        10.000000000000000             7500   499.05965743509222        250140.63123574975        1080.0895565181563        497.98538898283925        249069.99220933722        1080.5445689474873       0.96670281237878153          
1050	1000   1000.0000000000000        10.000000000000000             2500   506.01827279548326        256908.09137805109        853.59897512698080        483.14080322659731        234333.14206911210        908.10632667047321     
1050	  50   1000.0000000000000        10.000000000000000             2500   493.98172720445655        244871.54578702521        853.59897512709722        492.86261965506606        243767.03949807282        853.47764481851482       0.95690382065553237           
550    525   1000.0000000000000        10.000000000000000             2500   510.55725252525139        262392.50438395364        1723.7962778203364        498.77771694245450        250430.90723746261        1651.6963191353425         
550     25   1000.0000000000000        10.000000000000000             2500   489.44274747471854        241277.99933342161        1723.7962778205110        488.90577288763581        240756.93613474950        1728.0813718929712       0.98009867029611297            
150    125   1000.0000000000000        10.000000000000000             2500   506.27725753050942        257514.51358909535        1197.8520964815980        503.24270715744495        254455.16479330260        1201.9424861487059         
150     25   1000.0000000000000        10.000000000000000             2500   493.72274246947120        244959.99852805835        1197.8520964825584        493.13291297233582        244378.40119104661        1198.3313344652706       0.96655810823339805        
550    500   1000.0000000000000        10.010000000000000             2500   493.51541881546518        244649.15137215104        1091.6827635470254        482.12297218349920        233588.21051554018        1145.6502084890381     
550     50   1000.0000000000000        10.010000000000000             2500   496.64844379991581        247695.49490402502        1035.8181751468801        495.52945162837852        246581.93735122151        1032.4999200999737       0.96631018459691109     
550	350   999.99999999989450        10.000000000000000              250   493.91586138700075        245407.75698060342        1454.8788509404694        486.22820775412453        237905.06586263975        1487.1958468516532     
550	200   999.99999999989450        10.000000000000000              250   506.08413861289375        257576.03420649510        1454.8788509404403        501.69210034078009        253142.62432693935        1447.6607825959800       0.82333367283715697     
 
