#NT #Ni #Observables
2	   1   999.99999999999250        5.0000000000000000             7500   499.28320069254181        250526.45747616878        1242.7429823798011        499.28320069254181        250526.45747616878        1242.7429823798011     
2	   1   999.99999999999250        5.0000000000000000             7500   500.71679930745074        251960.05609107536        1242.7429823774437        500.71679930745074        251960.05609107536        1242.7429823774437       0.96468259104206788     
24	  15   999.99999999997522        5.0000000000000000            15000   507.77392310883340        258824.45430574636        990.09731641091639        463.72619796829179        216076.41386907152        1034.4271869441727     
24	   9   999.99999999997522        5.0000000000000000            15000   492.22607689114182        243276.60808805440        990.09731641015969        467.12885635869930        219232.14490292445        1022.7764599381480       0.96171774657107068     
16	  12   999.99999999998488        5.0000000000000000            25000   513.65688344000330        264844.10226296191        1000.7083576647565        477.50589640915581        229069.17554742322        1057.2944419117703     
16	   4   999.99999999998488        5.0000000000000000            25000   486.34311655998158        237530.33538295067        1000.7083576748264        476.60246890760715        228158.22421321747        1008.3108443908277       0.96016432874263347     
8	   6   999.99999999998772        5.0000000000000000            25000   506.49782629103760        257730.47986100081        1190.4318234547100        489.45983428146013        240784.64706927078        1213.7176944363746     
8	   2   999.99999999998772        5.0000000000000000            25000   493.50217370895007        244734.82727891504        1190.4318234563107        490.16274816930553        241452.33000911729        1192.8103162312473       0.96531750510789260     
300	 250   1000.0000000000000        5.0000000000000000             7500   668.84715649826853        447578.54853042355        222.02977460424881        248.47892386373834        62097.696875063426        355.92127058195183     
300	  50   1000.0000000000000        5.0000000000000000             7500   331.15284350144424        109884.23553369912        222.02977460710099        248.67631744459567        62093.887990026153        253.97713222083985       0.89982847646078779     
1050	1000   1000.0000000000000        5.0000000000000000             2500   854.85764138856814        730837.42231352848        55.835273102740757        111.66182500717444        12519.237320351211        50.874156418363782     
1050	  50   1000.0000000000000        5.0000000000000000             2500   145.14235861105527        21122.139536281866        55.835273101696657        108.84016163401711        11906.549849229672        60.369064710703242       0.82225051102226865     
550    525   1000.0000000000000        5.0000000000000000             2500   798.46907433400986        637691.47560531355        138.61293750302866        171.98075281796272        29789.006857135410        211.62751730221498     
550     25   1000.0000000000000        5.0000000000000000             2500   201.53092566579880        40753.326937218342        138.61293750462210        173.02996850454147        30086.471572670496        147.10157198788147       0.86511095774447788     
150    125   1000.0000000000000        5.0000000000000000             2500   610.36566963035966        373014.04416238697        467.79349906963762        329.07149197149522        108757.52145842853        469.47463008268096     
150     25   1000.0000000000000        5.0000000000000000             2500   389.63433036952250        152282.70490157598        467.79349906978314        335.43664336822161        113028.98103447242        511.23932033294113       0.92812687134303939     
550    500   1000.0000000000000        5.0099999999999998             2500   762.97192556425671        582263.52892741619        137.36972818651702        172.60244092479542        30021.877994404083        230.27538120659301     
550     50   1000.0000000000000        5.0099999999999998             2500   231.29613454869337        53639.874394639810        141.97253747253853        173.50422526744521        30256.708145002776        152.99195934640375       0.89143234271570693    
550	350   999.99999999898921        5.0000000000000000              250   589.34280899407077        347429.49586914451        104.54935612273403        174.31891237624833        30591.756788358609        204.67357632046333  
550	200   999.99999999898921        5.0000000000000000              250   410.65719100491845        168743.87788017272        104.54935612264671        174.08328612362450        30437.137247885723        132.14674028600712       0.10002447635646940    
