#NT #Ni #Observables
2	   1   999.99999999999250        3.0000000000000000             7500   499.28320069254181        250526.45747616878        1242.7429823798011        499.28320069254181        250526.45747616878        1242.7429823798011     
2	   1   999.99999999999250        3.0000000000000000             7500   500.71679930745074        251960.05609107536        1242.7429823774437        500.71679930745074        251960.05609107536        1242.7429823774437       0.96468259104206788
24	  15   999.99999999993634        3.0000000000000000            15000   549.54708021901615        302407.81946656620        405.82608932041330        317.22062811812748        101175.14088607296        546.21398241362476     
24	   9   999.99999999993634        3.0000000000000000            15000   450.45291978092018        203313.65902848059        405.82608932445874        319.31438739166231        102418.17019056958        456.49219525698572       0.93586926909125212     
16	  12   999.99999999996498        3.0000000000000000            25000   577.98870613808504        334617.56742295367        546.62299977603834        366.12146557700396        134697.02818287371        652.10062662040582     
16	   4   999.99999999996498        3.0000000000000000            25000   422.01129386188001        178640.15514675030        546.62299977225484        366.23292215505694        134702.80321878669        576.24994855470140       0.93952930903996401     
8	   6   999.99999999998295        3.0000000000000000            25000   547.42804126017234        300600.18902690010        922.72866895113839        433.40320882971025        188885.08171987603        1046.7402959865867     
8	   2   999.99999999998295        3.0000000000000000            25000   452.57195873981067        205744.10650654128        922.72866895238985        430.94569665800196        186658.35758163341        944.16411358275218       0.95806980358160498     
300	 250   1000.0000000000000        3.0000000000000000             7500   798.71628942714563        637961.85790479090        14.146908523049206        57.003144943311518        3268.6419903561009        19.283456927919360     
300	  50   1000.0000000000000        3.0000000000000000             7500   201.28371057236564        40529.279050300203        14.146908520342549        57.037422068282957        3269.6448889785393        16.377372783087594       0.65272259759273166     
1050	1000   1000.0000000000000        3.0000000000000000             2500   938.11613468804978        880063.54011819093        1.6579561437247321        17.778688893470989        318.28083642565383        2.1990576548251397     
1050	  50   1000.0000000000000        3.0000000000000000             2500   61.883865311491569        3831.2707420316005        1.6579561407711481        17.523844096173939        308.60153771666501        1.5164258096547769       0.31873655827394187     
550    525   1000.0000000000000        3.0000000000000000             2500   927.58245307045286        860414.66983938485        5.4625951859634370        32.729378072812835        1080.8694524416094        9.6572634084877791        
550     25   1000.0000000000000        3.0000000000000000             2500   72.417546929282111        5249.7636984403525        5.4625951855759922        32.390190868398143        1054.6244850442840        5.5000205530216135       0.49448297194182805        
150    125   1000.0000000000000        3.0000000000000000             2500   770.19044902244138        593239.02086897939        45.693103589466773        103.83664303658908        10838.366183310793        56.317746202768831      
150     25   1000.0000000000000        3.0000000000000000             2500   229.80955097731413        52858.122823982776        45.693103588033409        102.73530636853822        10609.101276596934        54.558101959524720       0.77752736528027055     
550    500   1000.0000000000000        3.0099999999999998             2500   882.12090343598447        778142.95698224823        5.6687035307986662        32.691618393689012        1075.9944343579675        7.2525211593817858     
550     50   1000.0000000000000        3.0099999999999998             2500   114.96512516585543        13222.509406425836        5.5294020250312315        32.744097811002106        1077.7657410268096        5.5897995703367087       0.61722161208773563     
550	350  999.99999999855493        3.0000000000000000              250   628.46227191553805        394970.13305225759        5.3058310179039836        32.409060349673233        1055.9250141386385        5.5778213898768172     
550	200   999.99999999855493        3.0000000000000000              250   371.53772808301687        138045.58922010814        5.3058310183696449        32.870201284352682        1085.6582933540560        5.2081608801952370      -0.33054144399794977     
